path,id,relpath,num_frames,height,width,aspect_ratio,fps,resolution,aes,flow,ocr,audio_path,audio_id,audio_fps,video_text,audio_text,text,cat0_ind,cat0_title,cat1_ind,cat1_title,cat2_ind,cat2_title,cat3_ind,cat3_title,cat4_ind,cat4_title
../../datasets/JavisBench/data/youtube_clip_m1INxJfEzjQ_scene-1.mp4,m1INxJfEzjQ_scene-1,m1INxJfEzjQ_scene-1.mp4,161,240.0,426.0,0.5633802816901409,24.0,102240.0,4.51303243637085,0.0028017936274409,0.0,../../datasets/JavisBench/data/youtube_clip_m1INxJfEzjQ_scene-1.wav,m1INxJfEzjQ_scene-1,16000,"A person is riding a horse in an indoor arena. The horse is gray with pink leg wraps. There are several barrels in the arena, and the rider is weaving around them. The arena has a dirt floor and is surrounded by a fence. There are banners on the walls with various logos and text.","There is a sound of a horse trotting, which is the main auditory element. There are also some background noises that could be from the arena, like the sound of the horse's hooves on the dirt or the ambient noise of the indoor space.","A person is riding a gray horse with pink leg wraps in an indoor arena, weaving around several barrels. The arena has a dirt floor and is surrounded by a fence, with banners on the walls featuring various logos and text. The sound of the horse trotting is prominent, along with the hooves hitting the dirt floor and some ambient noise from the indoor space.",2,Living Scenario,0,Camera Shooting,"0,1","Ambient Sounds,Biological Sounds",2,Simultaneous Events,1,Multiple Subjects
../../datasets/JavisBench/data/youtube_clip_qdn6K0JaXTA_scene-0.mp4,qdn6K0JaXTA_scene-0,qdn6K0JaXTA_scene-0.mp4,240,240.0,426.0,0.5633802816901409,24.0,102240.0,6.376047134399414,4.250136375427246,0.0,../../datasets/JavisBench/data/youtube_clip_qdn6K0JaXTA_scene-0.wav,qdn6K0JaXTA_scene-0,16000,"The visual content shows a beautiful landscape with a large, glowing planet in the sky. There are mountains in the background, covered in mist. The foreground has a winding path through a lush green area with colorful flowers and trees. The sky is a mix of blue and orange hues, suggesting either sunrise or sunset.","The auditory content is a slow, melancholic piece of music playing in the background.","A beautiful landscape unfolds with a large, glowing planet in the sky. Mountains covered in mist loom in the background, while a winding path winds through a lush green area filled with colorful flowers and trees. The sky blends blue and orange hues, suggesting either sunrise or sunset. In the background, a slow, melancholic piece of music plays.",0,Natural Scenario,1,2D Animation,3,Musical Sounds,1,Sequential Events,0,Single Subject
../../datasets/JavisBench/data/youtube_clip_TJ9_fDfmQ1g_scene-11.mp4,TJ9_fDfmQ1g_scene-11,TJ9_fDfmQ1g_scene-11.mp4,143,240.0,426.0,0.5633802816901409,24.0,102240.0,4.7512946128845215,3.0986483097076416,0.0,../../datasets/JavisBench/data/youtube_clip_TJ9_fDfmQ1g_scene-11.wav,TJ9_fDfmQ1g_scene-11,16000,"A man in a high - visibility vest is operating a machine in a workshop. He is standing in front of a blue metal frame with a purple and white machine on it. There are various tools and equipment around, like a red container and some metal pipes. The workshop has a concrete floor with some stains and a door in the background.",There is music playing in the background throughout the video.,"A man in a high-visibility vest is operating a machine in a workshop. He stands in front of a blue metal frame with a purple and white machine on it, surrounded by various tools and equipment such as a red container and some metal pipes. The workshop has a concrete floor with some stains and a door in the background. Music plays in the background throughout the scene.",3,Industrial Scenario,0,Camera Shooting,3,Musical Sounds,1,Sequential Events,1,Multiple Subjects
../../datasets/JavisBench/data/youtube_clip_YgfOasKpRmg_scene-17.mp4,YgfOasKpRmg_scene-17,YgfOasKpRmg_scene-17.mp4,84,240.0,426.0,0.5633802816901409,24.0,102240.0,4.862189292907715,12.62753677368164,0.0,../../datasets/JavisBench/data/youtube_clip_YgfOasKpRmg_scene-17.wav,YgfOasKpRmg_scene-17,16000,"A character in an anime style is shown. They are bald, wearing a red and yellow checkered shirt with a black design on it, and black pants. They are holding a sword and appear to be in a fighting stance. The background shows a mountainous landscape with trees and a cloudy sky. There are also some clouds of dust or smoke around the character.","There is a sound effect that resembles a table being flipped over, followed by a whoosh sound. Then there is a series of explosions or bursts of energy.","A character in an anime style is shown, bald and wearing a red and yellow checkered shirt with a black design and black pants. They are holding a sword in a fighting stance against a mountainous landscape with trees and a cloudy sky. Clouds of dust or smoke surround the character, and there are sound effects of objects being overturned, a whooshing noise, and bursts of energy.",0,Natural Scenario,1,2D Animation,"2,0","Mechanical Sounds,Ambient Sounds",1,Sequential Events,1,Multiple Subjects
../../datasets/JavisBench/data/youtube_clip_-fEMDqnDuR4_scene-3.mp4,-fEMDqnDuR4_scene-3,-fEMDqnDuR4_scene-3.mp4,97,240.0,426.0,0.5633802816901409,24.0,102240.0,4.704948425292969,39.71090698242188,0.0,../../datasets/JavisBench/data/youtube_clip_-fEMDqnDuR4_scene-3.wav,-fEMDqnDuR4_scene-3,16000,"The video shows a bustling market scene. There are several people, some wearing masks, gathered around a table filled with various fruits and drinks. The table has a green surface and is covered with plastic cups containing different colored liquids, likely fruit juices or smoothies. There are also containers of fruits like watermelon and mangoes. In the background, there are more stalls and people walking around, indicating a busy market atmosphere.","The audio includes the sounds of people talking, which is typical for a market. There might also be some ambient noise like the movement of people and possibly some background music or announcements, but these are not clearly specified in the description.","A bustling market scene is shown with several people, some wearing masks, gathered around a table filled with various fruits and drinks. The table has a green surface and is covered with plastic cups containing different colored liquids, likely fruit juices or smoothies. Containers of fruits like watermelon and mangoes are also present. People are talking, and there is a busy atmosphere with more stalls and individuals walking around in the background.",1,Urban Scenario,0,Camera Shooting,"0,4","Ambient Sounds,Speech Sounds",2,Simultaneous Events,1,Multiple Subjects
../../datasets/JavisBench/data/youtube_clip_T5m2Z_Lkh3E_scene-0.mp4,T5m2Z_Lkh3E_scene-0,T5m2Z_Lkh3E_scene-0.mp4,240,240.0,426.0,0.5633802816901409,24.0,102240.0,4.888378143310547,1.214574933052063,0.0,../../datasets/JavisBench/data/youtube_clip_T5m2Z_Lkh3E_scene-0.wav,T5m2Z_Lkh3E_scene-0,16000,"There's a small waterfall in a forest. The water is flowing over rocks, creating white splashes and ripples. The surrounding area has greenery, like trees and bushes.","The sound of flowing water, with the occasional splash and gurgling noises.","There's a small waterfall in a forest where water flows over rocks, creating white splashes and ripples. The sound of flowing water can be heard, along with occasional splashes and gurgling noises. The surrounding area is filled with greenery, including trees and bushes.",0,Natural Scenario,0,Camera Shooting,0,Ambient Sounds,0,Single Event,0,Single Subject
../../datasets/JavisBench/data/youtube_clip_ieMtdHP0HpU_scene-4.mp4,ieMtdHP0HpU_scene-4,ieMtdHP0HpU_scene-4.mp4,137,240.0,426.0,0.5633802816901409,24.0,102240.0,5.670436859130859,0.3876572549343109,0.0,../../datasets/JavisBench/data/youtube_clip_ieMtdHP0HpU_scene-4.wav,ieMtdHP0HpU_scene-4,16000,"A cute orange and white cat is sleeping peacefully on a fluffy cloud. There are butterflies flying around the cat, adding a whimsical touch to the scene.","The cat is purring softly, creating a soothing and calming sound.","A cute orange and white cat is sleeping peacefully on a fluffy cloud, purring softly and creating a soothing atmosphere. Butterflies are flying around the cat, adding a whimsical touch to the setting.",4,Virtual Scenario,1,2D Animation,1,Biological Sounds,0,Single Event,0,Single Subject
../../datasets/JavisBench/data/youtube_clip_04-k6czArz4_scene-0.mp4,04-k6czArz4_scene-0,04-k6czArz4_scene-0.mp4,240,240.0,426.0,0.5633802816901409,24.0,102240.0,5.115861892700195,10.24770450592041,0.0,../../datasets/JavisBench/data/youtube_clip_04-k6czArz4_scene-0.wav,04-k6czArz4_scene-0,16000,"The video shows a group of performers on a stage. They are dressed in traditional Middle Eastern attire, with women in flowing white dresses and men in white robes and turbans. The background features a large screen displaying intricate red and orange patterns, possibly representing a desert or palace scene. The performers are dancing in a choreographed manner, moving gracefully and in unison.","There is music playing in the background, which seems to be a lively and upbeat Middle Eastern tune. There is also the sound of clapping from an audience, indicating that the performance is being watched by an audience.","A group of performers dressed in traditional Middle Eastern attire are dancing on a stage. Women wear flowing white dresses, and men wear white robes and turbans. A large screen behind them displays intricate red and orange patterns, possibly representing a desert or palace scene. Lively and upbeat Middle Eastern music plays in the background, accompanied by the clapping of an appreciative audience.",2,Living Scenario,0,Camera Shooting,"3,0","Musical Sounds,Ambient Sounds",2,Simultaneous Events,1,Multiple Subjects
../../datasets/JavisBench/data/AVSBench_Single-source_s4_data_raw_videos_test_chainsawing_trees_2GfYNfKtpK0.mp4,2GfYNfKtpK0,AVSBench/Single-source/s4_data/raw_videos/test/chainsawing_trees/2GfYNfKtpK0.mp4,122,240.0,426.0,0.5633802816901409,24.0,102240.0,,,,../../datasets/JavisBench/data/AVSBench_Single-source_s4_data_raw_videos_test_chainsawing_trees_2GfYNfKtpK0.wav,2GfYNfKtpK0,16000,"A man in an orange safety outfit is using a chainsaw to cut through a large log. There are piles of cut logs around him, and in the background, there are houses and a fence. The ground is covered with dry grass.","The sound of a chainsaw cutting through wood, with the engine idling and then revving up as the cutting progresses.","A man in an orange safety outfit is using a chainsaw to cut through a large log. The sound of the chainsaw cutting through wood can be heard, with the engine idling and then revving up as he continues to cut. There are piles of cut logs around him, and in the background, there are houses and a fence. The ground is covered with dry grass.",1,Urban Scenario,0,Camera Shooting,"0,2","Ambient Sounds,Mechanical Sounds",2,Simultaneous Events,1,Multiple Subjects
../../datasets/JavisBench/data/youtube_clip_bhsI2Q0hFh0_scene-1.mp4,bhsI2Q0hFh0_scene-1,bhsI2Q0hFh0_scene-1.mp4,240,240.0,426.0,0.5633802816901409,24.0,102240.0,5.405099868774414,3.34101939201355,0.0,../../datasets/JavisBench/data/youtube_clip_bhsI2Q0hFh0_scene-1.wav,bhsI2Q0hFh0_scene-1,16000,"The video shows a well - designed garden. There's a large, comfortable sectional sofa on a paved area. The garden is filled with various plants and flowers, including some with pink and purple blooms. There are also some tall grasses and shrubs. The garden is enclosed by wooden walls and there are trees in the background providing shade.",There are sounds of children playing and birds chirping in the background.,"A well-designed garden filled with various plants and flowers, including some with pink and purple blooms, is shown. There's a large, comfortable sectional sofa on a paved area, and the garden is enclosed by wooden walls with trees in the background providing shade. In the background, there are sounds of children playing and birds chirping.",1,Urban Scenario,0,Camera Shooting,"0,1","Ambient Sounds,Biological Sounds",2,Simultaneous Events,"1,2","Multiple Subjects,Off-screen Sound"
